step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.4432837665081024,-0.3031669557094574,0.6733620166778564,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.011815466747113859,-0.011684961201683372,-0.011129080252338955,0.0,0.0,0.0,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.4471784830093384,0.30205878615379333,0.6705310344696045,0.42972639203071594,-0.3080216944217682,0.6581670045852661,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.011681640793264211,-0.011891383857561317,-0.011051436935044942,0.0,0.0,0.0,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4540306329727173,0.30160436034202576,0.6658058166503906,0.4154245853424072,-0.3148614764213562,0.6435173749923706,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.01135401930980547,-0.012302629235541632,-0.010942191709404511,0.0,0.0,0.0,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4618351459503174,0.30096179246902466,0.6613481044769287,0.4022400379180908,-0.3218080997467041,0.6297919154167175,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.010909989644416147,-0.012752112929980885,-0.010879142511234367,0.0,0.0,0.0,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.4707595109939575,0.3011322617530823,0.6570495367050171,0.3907378911972046,-0.3280085325241089,0.6163588166236877,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.01027222075247903,-0.013323775360353741,-0.010814734900087459,0.0,0.0,0.0,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.48015937209129333,0.3014262616634369,0.6528342962265015,0.38078123331069946,-0.33339616656303406,0.6032676100730896,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.0095011309876795,-0.013942463167202317,-0.010739470693947775,0.0,0.0,0.0,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.48946744203567505,0.30129241943359375,0.6487329602241516,0.37222838401794434,-0.3379688560962677,0.5906133651733398,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.008660369790608205,-0.014539626974500683,-0.010658200717395636,0.0,0.0,0.0,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.49828311800956726,0.3004775047302246,0.6448089480400085,0.3649493455886841,-0.34173595905303955,0.5784711241722107,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.00780059788641483,-0.015074001567231089,-0.010579468293140973,0.0,0.0,0.0,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.506325364112854,0.29890963435173035,0.6411191821098328,0.35882654786109924,-0.3447168469429016,0.5668981075286865,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.006964503003825065,-0.015523725754406395,-0.010512356377696265,0.0,0.0,0.0,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5134108662605286,0.296610563993454,0.6377032399177551,0.3537521958351135,-0.34693601727485657,0.5559378266334534,0.5534422993659973,0.19388701021671295,0.06999996304512024,0.0,0.0,0.006188344037874817,-0.015879738551672438,-0.010466054729430154,0.0,0.0,0.0,0.0,0.0
